MCLU,TIME[Myr],Z,NB_P,EBIN
1012,51.25,0.02,0,6.787649616343251e+47
1012,51.25,0.02,1,1.0996185501835727e+47
1012,30.25,0.02,0,1.1696165324897103e+48
1012,30.25,0.02,1,1.350098216170227e+47
1012,24.25,0.02,0,1.1685241510079945e+48
1012,24.25,0.02,1,1.3822596483084867e+47
1012,29.5,0.02,0,1.1699581267692159e+48
1012,29.5,0.02,1,1.350723323074934e+47
1012,53.25,0.02,0,6.785791893834217e+47
1012,53.25,0.02,1,1.099220134288372e+47
1012,40.25,0.02,0,1.1938933855709321e+48
1012,40.25,0.02,1,1.105443656613182e+47
1012,7.25,0.02,0,2.2015122622484385e+49
1012,7.25,0.02,1,1.5311853534427073e+47
1012,99.25,0.02,0,1.3067766483148802e+47
1012,99.25,0.02,1,8.259854739761855e+46
1012,81.5,0.02,0,6.700418096844657e+46
1012,81.5,0.02,1,8.258579768478891e+46
1012,56.0,0.02,0,6.783188503616352e+47
1012,56.0,0.02,1,1.0991669656799049e+47
1012,64.5,0.02,0,6.818056481608201e+47
1012,64.5,0.02,1,1.0790632713627883e+47
1012,9.25,0.02,0,2.1478337098974327e+49
1012,9.25,0.02,1,1.4911348960496585e+47
1012,25.0,0.02,0,1.1686121278853771e+48
1012,25.0,0.02,1,1.3813539590319443e+47
1012,72.25,0.02,0,6.8122422131817895e+47
1012,72.25,0.02,1,1.0481628741740305e+47
1012,90.75,0.02,0,6.70168528564271e+46
1012,90.75,0.02,1,8.257611649183645e+46
1012,71.75,0.02,0,6.814692373344443e+47
1012,71.75,0.02,1,1.0478702131041876e+47
1012,4.0,0.02,0,2.730148183263409e+49
1012,4.0,0.02,1,3.359228414897829e+48
1012,68.5,0.02,0,6.8152183545025364e+47
1012,68.5,0.02,1,1.0497992612682797e+47
1012,58.5,0.02,0,6.816661963786857e+47
1012,58.5,0.02,1,1.0858264490766146e+47
1012,79.0,0.02,0,6.704576682065878e+46
1012,79.0,0.02,1,8.25617000375305e+46
